Folder Name,Disease Name,Organic Cure Suggestion
Pepper__bell___Bacterial_spot,Bacterial Spot (Bell Pepper),Apply copper-based sprays; remove infected leaves; ensure good air circulation.
Pepper__bell___healthy,Healthy (Bell Pepper),No disease detected. Maintain regular care and watering.
Potato___Early_blight,Early Blight (Potato),Use neem oil; rotate crops; apply compost tea or garlic spray.
Potato___Late_blight,Late Blight (Potato),Use copper fungicides; remove affected leaves; avoid overhead watering.
Potato___healthy,Healthy (Potato),No disease detected. Keep monitoring and practice preventive measures.
Tomato_Bacterial_spot,Bacterial Spot (Tomato),Apply copper-based fungicide; avoid leaf wetness; prune infected parts.
Tomato_Early_blight,Early Blight (Tomato),Use neem oil or baking soda spray; remove infected leaves; rotate crops.
Tomato_Late_blight,Late Blight (Tomato),Spray compost tea; use copper spray; increase airflow around plants.
Tomato_Leaf_Mold,Leaf Mold (Tomato),Use potassium bicarbonate or milk spray; prune lower leaves; improve air circulation.
Tomato_Septoria_leaf_spot,Septoria Leaf Spot (Tomato,Spray with neem oil or copper-based fungicide; remove spotted leaves.
Tomato_Spider_mites_Two_spotted_spider_mite,Spider Mites (Tomato),Spray insecticidal soap or neem oil; introduce natural predators like ladybugs.
Tomato__Target_Spot,Target Spot (Tomato),Use sulfur spray; prune lower leaves; apply compost-based foliar spray.
Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato Yellow Leaf Curl Virus,Remove infected plants; use reflective mulch; control whiteflies with neem oil.
Tomato__Tomato_mosaic_virus,Tomato Mosaic Virus,Remove and destroy infected plants; disinfect tools; avoid tobacco near crops.
Tomato_healthy,Healthy (Tomato),No disease detected. Follow regular watering and organic feeding schedule.
